Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-13 11:07:47.153 -0700,"Success",0:00:04,0,0,0,"20170113_110747.153/LogFile.txt","","",1
2017-01-13 14:12:56.132 -0700,"Success",0:00:06,0,0,0,"20170113_141256.132/LogFile.txt","","",1
2017-01-13 14:17:56.829 -0700,"Success",0:00:11,0,0,0,"20170113_141756.829/LogFile.txt","","",1
2017-01-24 13:12:02.541 -0700,"Success",0:00:01,0,0,0,"20170124_131202.541/LogFile.txt","","",1
2017-01-26 08:20:52.832 -0700,"Success",0:00:02,0,0,0,"20170126_082052.832/LogFile.txt","","",1
2017-01-26 08:23:22.273 -0700,"Success",0:00:05,0,0,0,"20170126_082322.273/LogFile.txt","","",1
2017-01-26 08:24:25.272 -0700,"Running",0:00:00,0,0,0,"20170126_082425.272/LogFile.txt","","",0
2017-01-26 08:33:26.786 -0700,"Success",0:00:13,0,0,0,"20170126_083326.786/LogFile.txt","","",1
2017-01-26 08:37:34.888 -0700,"Success",0:00:26,0,0,0,"20170126_083734.888/LogFile.txt","","",1
2017-01-26 12:28:26.561 -0700,"Success",0:00:02,0,0,0,"20170126_122826.561/LogFile.txt","","",1
2017-01-26 12:30:06.393 -0700,"Success",0:00:05,0,0,0,"20170126_123006.393/LogFile.txt","","",1
2017-01-26 12:31:40.635 -0700,"Success",0:00:11,0,0,0,"20170126_123140.635/LogFile.txt","","",1
2017-01-26 12:32:06.026 -0700,"Success",0:00:09,0,0,0,"20170126_123206.026/LogFile.txt","","",1
2017-01-27 11:45:11.267 -0700,"Success",0:00:05,0,0,0,"20170127_114511.267/LogFile.txt","","",1
2017-01-27 11:45:24.286 -0700,"Success",0:00:06,0,0,0,"20170127_114524.286/LogFile.txt","","",1
2017-01-27 11:47:10.877 -0700,"Success",0:00:05,0,0,0,"20170127_114710.877/LogFile.txt","","",1
2017-01-27 11:53:05.451 -0700,"Success",0:00:16,0,0,0,"20170127_115305.451/LogFile.txt","","",1
2017-01-30 14:17:50.895 -0700,"Success",0:00:06,0,0,0,"20170130_141750.895/LogFile.txt","","",1
2017-01-30 14:24:45.331 -0700,"Success",0:00:12,0,0,0,"20170130_142445.331/LogFile.txt","","",1
2017-02-01 15:11:49.266 -0700,"Success",0:00:00,0,0,0,"20170201_151149.266/LogFile.txt","","",1
2017-02-01 15:12:03.096 -0700,"Success",0:00:00,0,0,0,"20170201_151203.096/LogFile.txt","","",1
2017-02-01 15:12:11.976 -0700,"Success",0:00:00,0,0,0,"20170201_151211.976/LogFile.txt","","",1
2017-02-01 15:12:25.792 -0700,"Success",0:00:00,0,0,0,"20170201_151225.792/LogFile.txt","","",1
2017-02-01 15:12:34.256 -0700,"Success",0:00:00,0,0,0,"20170201_151234.256/LogFile.txt","","",1
2017-02-01 15:13:31.061 -0700,"Success",0:00:00,0,0,0,"20170201_151331.061/LogFile.txt","","",1
2017-02-01 15:14:22.761 -0700,"Success",0:00:00,0,0,0,"20170201_151422.761/LogFile.txt","","",1
2017-02-02 08:26:29.172 -0700,"Success",0:00:05,0,0,0,"20170202_082629.172/LogFile.txt","","",1
2017-02-02 08:27:00.701 -0700,"Success",0:00:04,0,0,0,"20170202_082700.701/LogFile.txt","","",1
2017-02-02 11:37:39.651 -0700,"Success",0:00:00,0,0,0,"20170202_113739.651/LogFile.txt","","",1
2017-02-02 11:37:46.390 -0700,"Success",0:00:00,0,0,0,"20170202_113746.390/LogFile.txt","","",1
2017-02-02 11:38:02.064 -0700,"Success",0:00:00,0,0,0,"20170202_113802.064/LogFile.txt","","",1
2017-02-02 13:16:06.742 -0700,"Success",0:00:06,0,0,0,"20170202_131606.742/LogFile.txt","","",1
2017-02-02 13:18:30.408 -0700,"Success",0:00:10,0,0,0,"20170202_131830.408/LogFile.txt","","",1
2017-02-03 07:41:10.213 -0700,"Success",0:00:00,0,0,0,"20170203_074110.213/LogFile.txt","","",1
2017-02-03 07:47:24.467 -0700,"Success",0:00:00,0,0,0,"20170203_074724.467/LogFile.txt","","",1
2017-02-03 07:47:34.178 -0700,"Success",0:00:00,0,0,0,"20170203_074734.178/LogFile.txt","","",1
2017-02-03 07:47:45.407 -0700,"Success",0:00:00,0,0,0,"20170203_074745.407/LogFile.txt","","",1
2017-02-03 08:16:51.489 -0700,"Success",0:00:05,0,0,0,"20170203_081651.489/LogFile.txt","","",1
2017-02-03 09:04:23.056 -0700,"Success",0:00:02,0,0,0,"20170203_090423.056/LogFile.txt","","",1
2017-02-03 09:23:27.721 -0700,"Success",0:00:06,0,0,0,"20170203_092327.721/LogFile.txt","","",1
2017-02-03 09:36:44.254 -0700,"Success",0:00:13,0,0,0,"20170203_093644.254/LogFile.txt","","",1
2017-02-06 13:00:38.202 -0700,"Success",0:00:00,0,0,0,"20170206_130038.202/LogFile.txt","","",1
2017-02-08 13:08:33.494 -0700,"Failure",0:00:07,1,0,0,"20170208_130833.494/LogFile.txt","","Invalid Parameter -- The allKeys, allModifierKeys, and allNonModifierKeys values may only be used with the KeyUp command",0
2017-02-08 13:08:58.806 -0700,"Success",0:00:06,0,0,0,"20170208_130858.806/LogFile.txt","","",1
2017-02-09 08:02:34.720 -0700,"Success",0:00:06,0,0,0,"20170209_080234.720/LogFile.txt","","",1
2017-02-09 08:02:53.777 -0700,"Success",0:00:02,0,0,0,"20170209_080253.777/LogFile.txt","","",1
2017-02-09 08:31:54.188 -0700,"Success",0:00:08,0,0,0,"20170209_083154.188/LogFile.txt","","",1
