2017-07-17 10:05:19.586 -0600	START		Running Index/Index Full Run.script
2017-07-17 10:05:19.692 -0600	Log		((DateofBirth:"2006-06-13 12:00:00 -0600", FirstName:"Bruce", Gender:"Male", LastName:"Wayne", MaritalStatus:"Single", MedicalRecordNumber:"222222", MiddleName:"Q", Prefix:"Mr", SocialSecurityNumber:"113-83-3798"),(DateofBirth:"2014-03-17 12:00:00 -0600", FirstName:"Carrie", Gender:"Female", LastName:"Underwood", MaritalStatus:"Married", MedicalRecordNumber:"333333", MiddleName:"R", Prefix:"Mrs", SocialSecurityNumber:"583-00-6387"),(DateofBirth:"2003-04-24 12:00:00 -0600", FirstName:"Wonder", Gender:"Female", LastName:"Woman", MaritalStatus:"Divorced", MedicalRecordNumber:"444444", MiddleName:"S", Prefix:"Ms", SocialSecurityNumber:"580-71-8520"),(DateofBirth:"1987-12-23 12:00:00 -0700", FirstName:"Darth", Gender:"Male", LastName:"Vader", MaritalStatus:"Widowed", MedicalRecordNumber:"555555", MiddleName:"T", Prefix:"Dr", SocialSecurityNumber:"744-85-1232"),(DateofBirth:"1981-07-30 12:00:00 -0600", FirstName:"James", Gender:"Male", LastName:"Bond", MaritalStatus:"Single", MedicalRecordNumber:"666666", MiddleName:"U", Prefix:"Dr", SocialSecurityNumber:"973-13-0224"),(DateofBirth:"1980-09-01 12:00:00 -0600", FirstName:"Homer", Gender:"Male", LastName:"Simpson", MaritalStatus:"Married", MedicalRecordNumber:"777777", MiddleName:"V", Prefix:"Mr", SocialSecurityNumber:"557-31-0655"),(DateofBirth:"1985-09-19 12:00:00 -0600", FirstName:"Optimus", Gender:"Other", LastName:"Prime", MaritalStatus:"Divorced", MedicalRecordNumber:"888888", MiddleName:"W", Prefix:"Dr", SocialSecurityNumber:"521-26-0727"),(DateofBirth:"2000-06-14 12:00:00 -0600", FirstName:"Mickey", Gender:"Male", LastName:"Mouse", MaritalStatus:"Single", MedicalRecordNumber:"999999", MiddleName:"X", Prefix:"Dr", SocialSecurityNumber:"984-56-3166"),(DateofBirth:"2000-06-14 12:00:00 -0600", FirstName:"SpongeBob", Gender:"Male", LastName:"SquarePants", MaritalStatus:"Single", MedicalRecordNumber:"101010", MiddleName:"Y", Prefix:"Mr", SocialSecurityNumber:"984-56-3166"))	3	on_index_index_full_run	Index/Index Full Run.script
2017-07-17 10:05:19.720 -0600	typetext		[windowsKey]r	3	on_login	Library/EMR.script
2017-07-17 10:05:20.561 -0600	typetext		chrome.exe[returnKey]	4	on_login	Library/EMR.script
2017-07-17 10:05:23.686 -0600	waitfor	Chrome/Refresh Icon	found at (72, 47)	5	on_login	Library/EMR.script
2017-07-17 10:05:23.712 -0600	typetext		[controlKey]l	6	on_login	Library/EMR.script
2017-07-17 10:05:25.404 -0600	typetext		http://localhost/openemr/interface/main/main_screen.php?auth=login&site=default[enter]	7	on_login	Library/EMR.script
2017-07-17 10:05:26.630 -0600	imagefound	Login/Logo	found at (524, 486)	9	on_login	Library/EMR.script
2017-07-17 10:05:27.636 -0600	Log		Login/logo was Booted 	16	on_login	Library/EMR.script
2017-07-17 10:05:27.712 -0600	typetext		admin[tab]	17	on_login	Library/EMR.script
2017-07-17 10:05:28.475 -0600	typetext		pass[enter]	18	on_login	Library/EMR.script
2017-07-17 10:05:35.501 -0600	waitfor	Chrome/Refresh Icon	found at (72, 47)	20	on_login	Library/EMR.script
2017-07-17 10:05:35.504 -0600	Log		EMR was loaded 1.019689 seconds	21	on_login	Library/EMR.script
2017-07-17 10:05:35.512 -0600	Log		(DateofBirth:"2006-06-13 12:00:00 -0600", FirstName:"Bruce", Gender:"Male", LastName:"Wayne", MaritalStatus:"Single", MedicalRecordNumber:"222222", MiddleName:"Q", Prefix:"Mr", SocialSecurityNumber:"113-83-3798")	3	on_create	Patient/New.script
2017-07-17 10:05:36.137 -0600	click	Patient/New/New Patient Button	at (43, 80)	11	on_create	Patient/New.script
2017-07-17 10:05:36.641 -0600	waitfor	Patient/New/Name	found at (378, 201)	12	on_create	Patient/New.script
2017-07-17 10:05:36.942 -0600	click		at (378, 201)	14	on_create	Patient/New.script
2017-07-17 10:05:38.286 -0600	imagefound	(TEXT:"Mr")	found at (312, 236)	15	on_create	Patient/New.script
2017-07-17 10:05:38.395 -0600	click		at (312, 236)	16	on_create	Patient/New.script
2017-07-17 10:05:39.186 -0600	typetext		[tab]Bruce[tab]	19	on_create	Patient/New.script
2017-07-17 10:05:39.920 -0600	typetext		Q[tab]	20	on_create	Patient/New.script
2017-07-17 10:05:40.700 -0600	typetext		Wayne[tab]	21	on_create	Patient/New.script
2017-07-17 10:05:41.495 -0600	typetext		222222[tab]	22	on_create	Patient/New.script
2017-07-17 10:05:41.499 -0600	Log		2006-06-13	3	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:42.745 -0600	click	Patient/DOB/DateOfBirth	at (419, 237)	11	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:43.461 -0600	moveto		at (469, 237)	12	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:44.676 -0600	moveto	Patient/DOB/YearBack	at (432, 285)	18	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:45.486 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:46.297 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:47.107 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:47.916 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:48.726 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:49.541 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:50.347 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:51.156 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:51.969 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:52.776 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:53.582 -0600	click		at (432, 285)	20	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:54.814 -0600	moveto	Patient/DOB/MonthBack	at (465, 287)	27	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:55.621 -0600	click		at (465, 287)	30	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:58.125 -0600	click	(TEXT:"13")	at (537, 363)	34	on_buttons	Modules/DOBMod.script
2017-07-17 10:05:59.448 -0600	click	Patient/New/Social Security	at (335, 260)	24	on_create	Patient/New.script
2017-07-17 10:06:00.293 -0600	typetext		113-83-3798	25	on_create	Patient/New.script
2017-07-17 10:06:01.519 -0600	click	Patient/New/MaritalStatus	at (411, 283)	27	on_create	Patient/New.script
2017-07-17 10:06:02.918 -0600	click	(TEXT:"Single")	at (322, 341)	30	on_create	Patient/New.script
2017-07-17 10:06:04.252 -0600	click	Patient/New/Sex	at (869, 232)	32	on_create	Patient/New.script
2017-07-17 10:06:04.992 -0600	typetext		[downArrow][downArrow][returnKey]	36	on_create	Patient/New.script
2017-07-17 10:06:06.051 -0600	click	Patient/New/CreateNewPatient	at (318, 529)	38	on_create	Patient/New.script
2017-07-17 10:06:11.852 -0600	imagefound	Patient/Check/OK	Unable to Find Image Patient/Check/OK	2	on_check	Patient/New.script
2017-07-17 10:06:12.394 -0600	imagefound	Patient/New/ConfirmCreateNewPatient	found at (135, 548)	12	on_check	Patient/New.script
2017-07-17 10:06:12.500 -0600	click		at (135, 548)	13	on_check	Patient/New.script
2017-07-17 10:06:12.501 -0600	Log		New Patient has been created	14	on_check	Patient/New.script
2017-07-17 10:06:16.635 -0600	imagefound	Patient/New/NewDueClinicalReminders	found at (642, 121)	16	on_check	Patient/New.script
2017-07-17 10:06:17.268 -0600	click	Patient/Check/OK	at (882, 289)	17	on_check	Patient/New.script
2017-07-17 10:06:22.869 -0600	imagefound	Patient/Check/OK	Unable to Find Image Patient/Check/OK	2	on_fix	Patient/New.script
2017-07-17 10:06:22.870 -0600	Log		Nothing to Fix	25	on_fix	Patient/New.script
2017-07-17 10:06:22.883 -0600	Log		(DateofBirth:"2014-03-17 12:00:00 -0600", FirstName:"Carrie", Gender:"Female", LastName:"Underwood", MaritalStatus:"Married", MedicalRecordNumber:"333333", MiddleName:"R", Prefix:"Mrs", SocialSecurityNumber:"583-00-6387")	3	on_create	Patient/New.script
2017-07-17 10:06:23.518 -0600	click	Patient/New/New Patient Button	at (43, 80)	11	on_create	Patient/New.script
2017-07-17 10:06:23.999 -0600	waitfor	Patient/New/Name	found at (378, 201)	12	on_create	Patient/New.script
2017-07-17 10:06:24.325 -0600	click		at (378, 201)	14	on_create	Patient/New.script
2017-07-17 10:06:25.642 -0600	imagefound	(TEXT:"Mrs")	found at (315, 252)	15	on_create	Patient/New.script
2017-07-17 10:06:25.748 -0600	click		at (315, 252)	16	on_create	Patient/New.script
2017-07-17 10:06:26.546 -0600	typetext		[tab]Carrie[tab]	19	on_create	Patient/New.script
2017-07-17 10:06:27.275 -0600	typetext		R[tab]	20	on_create	Patient/New.script
2017-07-17 10:06:28.100 -0600	typetext		Underwood[tab]	21	on_create	Patient/New.script
2017-07-17 10:06:28.896 -0600	typetext		333333[tab]	22	on_create	Patient/New.script
2017-07-17 10:06:28.902 -0600	Log		2014-03-17	3	on_buttons	Modules/DOBMod.script
2017-07-17 10:06:30.158 -0600	click	Patient/DOB/DateOfBirth	at (419, 237)	11	on_buttons	Modules/DOBMod.script
2017-07-17 10:06:30.873 -0600	moveto		at (469, 237)	12	on_buttons	Modules/DOBMod.script
2017-07-17 10:06:32.090 -0600	moveto	Patient/DOB/YearBack	at (432, 285)	18	on_buttons	Modules/DOBMod.script
