2017-05-31 09:45:25.842 -0600	START		Running Index/Index Full Run.script
2017-05-31 09:45:25.981 -0600	Log		((Prefix,First Name,Middle Name,Last Name,Medical Record Number,Date of Birth,Social Security Number,Gender,Marital Status),(Mr,Bruce,,Wayne,222222,2006-06-13 12:00:00 -0600,113-83-3798,Male,Single),(Mrs,Carrie,,Underwood,333333,2014-03-16 12:00:00 -0600,583-00-6387,Female,Married),(Ms,Wonder,,Woman,444444,2003-04-24 12:00:00 -0600,580-71-8520,Female,Divorced),(Dr,Darth,,Vader,555555,1987-12-23 12:00:00 -0700,744-85-1232,Male,Widowed),(Dr,James,,Bond,666666,1981-07-30 12:00:00 -0600,973-13-0224,Male,Single),(Mr,Homer,,Simpson,777777,1980-09-01 12:00:00 -0600,557-31-0655,Male,Married),(Dr,Optimus,,Prime,888888,1985-09-19 12:00:00 -0600,521-26-0727,Other,Divorced),(Dr,Mickey,,Mouse,999999,2000-06-14 12:00:00 -0600,984-56-3166,Male,Single),(Mr,SpongeBob,,SquarePants,101010,2000-06-14 12:00:00 -0600,984-56-3166,Male,Single))	3	on_index_index_full_run	Index/Index Full Run.script
2017-05-31 09:45:25.985 -0600	Log		--------------------------------------	3	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.987 -0600	Log		PrefixMr	4	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.988 -0600	Log		FirstnameBruce	5	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.989 -0600	Log		MiddleName	6	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.991 -0600	Log		LastNameWayne	7	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.992 -0600	Log		ExternalID222222	8	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.993 -0600	Log		 DOB2006-06-13 12:00:00 -0600	9	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.994 -0600	Log		ss113-83-3798	10	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.996 -0600	Log		MaritalSingle	11	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:25.997 -0600	Log		--------------------------------------	13	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.009 -0600	Log		--------------------------------------	3	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.010 -0600	Log		PrefixMrs	4	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.012 -0600	Log		FirstnameCarrie	5	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.013 -0600	Log		MiddleName	6	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.014 -0600	Log		LastNameUnderwood	7	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.016 -0600	Log		ExternalID333333	8	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.018 -0600	Log		 DOB2014-03-16 12:00:00 -0600	9	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.019 -0600	Log		ss583-00-6387	10	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.020 -0600	Log		MaritalMarried	11	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.021 -0600	Log		--------------------------------------	13	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.038 -0600	Log		--------------------------------------	3	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.039 -0600	Log		PrefixMs	4	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.041 -0600	Log		FirstnameWonder	5	on_testcreate	Modules/GlobalDefine.script
2017-05-31 09:45:26.042 -0600	Log		MiddleName	6	on_testcreate	Modules/GlobalDefine.script
